sample_id,sample_start_day,sample_start_time,date_received,rt_start,rt_end,date_frozen,formed_stool
1,2017-08-14,3:29,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
2,2017-08-13,22:05,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
3,2017-08-14,7:10,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
4,2017-08-14,0:29,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
5,2017-08-13,21:43,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
6,2017-08-13,18:10,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
7,2017-08-13,9:37,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
8,2017-08-13,10:14,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
9,2017-08-14,5:00,2017-08-14,2017-08-14,2017-08-21,2017-08-21,n
10,2017-08-13,22:16,2017-08-14,2017-08-14,2017-08-21,2017-08-21,n
11,2017-08-14,4:51,2017-08-14,2017-08-14,2017-08-21,2017-08-21,y
12,2017-08-14,1:54,2017-08-14,2017-08-14,2017-08-21,2017-08-21,n
13,2017-08-14,4:53,2017-08-14,2017-08-14,2017-08-21,2017-08-21,n
14,2017-08-13,22:53,2017-08-14,2017-08-14,2017-08-21,2017-08-21,n
15,2017-08-15,10:55,2017-08-16,2017-08-16,2017-08-23,2017-08-23,y
16,2017-08-15,12:49,2017-08-16,2017-08-16,2017-08-23,2017-08-23,y
17,2017-08-15,12:57,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
18,2017-08-15,9:02,2017-08-16,2017-08-16,2017-08-23,2017-08-23,y
19,2017-08-15,19:42,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
20,2017-08-15,17:13,2017-08-16,2017-08-16,2017-08-23,2017-08-23,y
21,2017-08-15,12:25,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
22,2017-08-15,12:22,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
23,2017-08-15,20:06,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
24,2017-08-15,19:57,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
25,2017-08-15,15:25,2017-08-16,2017-08-16,2017-08-23,2017-08-23,y
26,2017-08-15,11:38,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
27,2017-08-15,9:37,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
28,2017-08-15,6:41,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
29,2017-08-15,8:49,2017-08-16,2017-08-16,2017-08-23,2017-08-23,n
30,2017-08-15,20:05,2017-08-16,2017-08-16,2017-08-23,2017-08-23,y
